"['1991', '3111']",growthbelowavg,regbelowavg
"['1991', '3112']",growthaboveavg,regbelowavg
"['1991', '3116']",growthbelowavg,regaboveavg
"['1991', '3121']",growthaboveavg,regbelowavg
"['1991', '3132']",growthaboveavg,regbelowavg
"['1991', '3133']",growthaboveavg,regbelowavg
"['1991', '3141']",growthbelowavg,regbelowavg
"['1991', '3211']",growthbelowavg,regbelowavg
"['1991', '3221']",growthbelowavg,regbelowavg
"['1991', '3241']",growthaboveavg,regaboveavg
"['1991', '3251']",growthbelowavg,regaboveavg
"['1991', '3253']",growthbelowavg,regaboveavg
"['1991', '3254']",growthaboveavg,regaboveavg
"['1991', '3255']",growthbelowavg,regbelowavg
"['1991', '3273']",growthbelowavg,regbelowavg
"['1991', '3274']",growthbelowavg,regbelowavg
"['1991', '3313']",growthaboveavg,regbelowavg
"['1991', '3333']",growthbelowavg,regbelowavg
"['1991', '3334']",growthbelowavg,regbelowavg
"['1991', '3336']",growthbelowavg,regbelowavg
"['1991', '3339']",growthbelowavg,regbelowavg
"['1991', '3345']",growthaboveavg,regaboveavg
"['1991', '3351']",growthbelowavg,regbelowavg
"['1991', '3352']",growthbelowavg,regbelowavg
"['1991', '3353']",growthbelowavg,regbelowavg
"['1991', '3361']",growthaboveavg,regaboveavg
"['1991', '3362']",growthbelowavg,regaboveavg
"['1991', '3363']",growthbelowavg,regaboveavg
"['1991', '3366']",growthbelowavg,regaboveavg
"['1991', '3391']",growthaboveavg,regaboveavg
"['1992', '3111']",growthbelowavg,regbelowavg
"['1992', '3112']",growthbelowavg,regbelowavg
"['1992', '3116']",growthbelowavg,regaboveavg
"['1992', '3121']",growthbelowavg,regbelowavg
"['1992', '3132']",growthbelowavg,regbelowavg
"['1992', '3133']",growthbelowavg,regbelowavg
"['1992', '3141']",growthaboveavg,regbelowavg
"['1992', '3211']",growthbelowavg,regbelowavg
"['1992', '3221']",growthbelowavg,regbelowavg
"['1992', '3241']",growthbelowavg,regaboveavg
"['1992', '3251']",growthbelowavg,regaboveavg
"['1992', '3253']",growthbelowavg,regaboveavg
"['1992', '3254']",growthbelowavg,regaboveavg
"['1992', '3255']",growthbelowavg,regbelowavg
"['1992', '3273']",growthbelowavg,regbelowavg
"['1992', '3274']",growthbelowavg,regbelowavg
"['1992', '3313']",growthaboveavg,regbelowavg
"['1992', '3333']",growthbelowavg,regbelowavg
"['1992', '3334']",growthaboveavg,regbelowavg
"['1992', '3336']",growthbelowavg,regbelowavg
"['1992', '3339']",growthbelowavg,regbelowavg
"['1992', '3345']",growthbelowavg,regbelowavg
"['1992', '3351']",growthbelowavg,regbelowavg
"['1992', '3352']",growthaboveavg,regbelowavg
"['1992', '3353']",growthaboveavg,regbelowavg
"['1992', '3361']",growthbelowavg,regaboveavg
"['1992', '3362']",growthaboveavg,regaboveavg
"['1992', '3363']",growthaboveavg,regaboveavg
"['1992', '3366']",growthaboveavg,regaboveavg
"['1992', '3391']",growthbelowavg,regaboveavg
"['1993', '3111']",growthaboveavg,regbelowavg
"['1993', '3112']",growthaboveavg,regbelowavg
"['1993', '3116']",growthaboveavg,regaboveavg
"['1993', '3121']",growthaboveavg,regbelowavg
"['1993', '3132']",growthaboveavg,regbelowavg
"['1993', '3133']",growthbelowavg,regbelowavg
"['1993', '3141']",growthaboveavg,regbelowavg
"['1993', '3211']",growthbelowavg,regbelowavg
"['1993', '3221']",growthaboveavg,regbelowavg
"['1993', '3241']",growthaboveavg,regaboveavg
"['1993', '3251']",growthaboveavg,regaboveavg
"['1993', '3253']",growthaboveavg,regaboveavg
"['1993', '3254']",growthbelowavg,regaboveavg
"['1993', '3255']",growthaboveavg,regbelowavg
"['1993', '3273']",growthaboveavg,regbelowavg
"['1993', '3274']",growthbelowavg,regbelowavg
"['1993', '3313']",growthaboveavg,regbelowavg
"['1993', '3333']",growthaboveavg,regbelowavg
"['1993', '3334']",growthaboveavg,regbelowavg
"['1993', '3336']",growthaboveavg,regbelowavg
"['1993', '3339']",growthaboveavg,regbelowavg
"['1993', '3345']",growthaboveavg,regbelowavg
"['1993', '3351']",growthbelowavg,regbelowavg
"['1993', '3352']",growthaboveavg,regbelowavg
"['1993', '3353']",growthaboveavg,regbelowavg
"['1993', '3361']",growthbelowavg,regaboveavg
"['1993', '3362']",growthaboveavg,regaboveavg
"['1993', '3363']",growthaboveavg,regaboveavg
"['1993', '3366']",growthbelowavg,regaboveavg
"['1993', '3391']",growthbelowavg,regaboveavg
"['1994', '3111']",growthaboveavg,regbelowavg
"['1994', '3112']",growthbelowavg,regbelowavg
