"['2003', '3241']",growthaboveavg,regaboveavg
"['1991', '3133']",growthaboveavg,regbelowavg
"['1993', '3241']",growthaboveavg,regaboveavg
"['1995', '3111']",growthaboveavg,regbelowavg
"['2005', '3253']",growthaboveavg,regaboveavg
"['2005', '3133']",growthaboveavg,regbelowavg
"['2002', '3251']",growthaboveavg,regaboveavg
"['2010', '3334']",growthaboveavg,regbelowavg
"['2006', '3116']",growthaboveavg,regbelowavg
"['2008', '3339']",growthaboveavg,regbelowavg
"['2004', '3253']",growthaboveavg,regaboveavg
"['1993', '3255']",growthaboveavg,regbelowavg
"['2011', '3211']",growthaboveavg,regbelowavg
"['2009', '3313']",growthaboveavg,regbelowavg
"['2011', '3363']",growthaboveavg,regaboveavg
"['2014', '3352']",growthaboveavg,regbelowavg
"['2011', '3345']",growthaboveavg,regbelowavg
"['1992', '3352']",growthaboveavg,regbelowavg
"['2005', '3363']",growthaboveavg,regaboveavg
"['2003', '3362']",growthaboveavg,regaboveavg
"['1997', '3251']",growthaboveavg,regaboveavg
"['2008', '3366']",growthaboveavg,regaboveavg
"['1997', '3111']",growthaboveavg,regbelowavg
"['2003', '3255']",growthaboveavg,regbelowavg
"['1992', '3313']",growthaboveavg,regbelowavg
"['2004', '3251']",growthaboveavg,regaboveavg
"['2014', '3333']",growthaboveavg,regbelowavg
"['2006', '3366']",growthaboveavg,regaboveavg
"['2008', '3313']",growthaboveavg,regbelowavg
"['2004', '3352']",growthaboveavg,regbelowavg
"['2010', '3211']",growthaboveavg,regbelowavg
"['2000', '3345']",growthaboveavg,regbelowavg
"['2000', '3241']",growthaboveavg,regaboveavg
"['1993', '3221']",growthaboveavg,regbelowavg
"['2003', '3251']",growthaboveavg,regaboveavg
"['2011', '3339']",growthaboveavg,regbelowavg
"['2007', '3132']",growthaboveavg,regbelowavg
"['2006', '3352']",growthaboveavg,regbelowavg
"['1997', '3334']",growthaboveavg,regbelowavg
"['1993', '3141']",growthaboveavg,regbelowavg
"['2003', '3345']",growthaboveavg,regbelowavg
"['2012', '3345']",growthaboveavg,regbelowavg
"['2005', '3132']",growthaboveavg,regbelowavg
"['2000', '3391']",growthaboveavg,regaboveavg
"['2001', '3241']",growthaboveavg,regaboveavg
"['2012', '3336']",growthaboveavg,regbelowavg
"['1993', '3313']",growthaboveavg,regbelowavg
"['2001', '3255']",growthaboveavg,regbelowavg
"['2002', '3211']",growthaboveavg,regbelowavg
"['2012', '3334']",growthaboveavg,regbelowavg
"['2007', '3112']",growthaboveavg,regbelowavg
"['1994', '3362']",growthaboveavg,regbelowavg
"['2006', '3351']",growthaboveavg,regbelowavg
"['2002', '3116']",growthaboveavg,regbelowavg
"['2011', '3333']",growthaboveavg,regbelowavg
"['2004', '3345']",growthaboveavg,regbelowavg
"['1994', '3251']",growthaboveavg,regaboveavg
"['2002', '3363']",growthaboveavg,regaboveavg
"['1998', '3313']",growthaboveavg,regbelowavg
"['2010', '3255']",growthaboveavg,regbelowavg
"['1996', '3313']",growthaboveavg,regbelowavg
"['1995', '3361']",growthaboveavg,regaboveavg
"['2002', '3352']",growthaboveavg,regbelowavg
"['2011', '3352']",growthaboveavg,regbelowavg
"['2011', '3221']",growthaboveavg,regbelowavg
"['2005', '3352']",growthaboveavg,regbelowavg
"['2008', '3141']",growthaboveavg,regbelowavg
"['1993', '3352']",growthaboveavg,regbelowavg
"['2003', '3273']",growthaboveavg,regbelowavg
"['1993', '3363']",growthaboveavg,regaboveavg
"['1991', '3112']",growthaboveavg,regbelowavg
"['2000', '3133']",growthaboveavg,regbelowavg
"['2003', '3132']",growthaboveavg,regbelowavg
"['2014', '3353']",growthaboveavg,regbelowavg
"['2011', '3351']",growthaboveavg,regbelowavg
