"['1991', '3112']",growthaboveavg,regbelowavg
"['1991', '3121']",growthaboveavg,regbelowavg
"['1991', '3132']",growthaboveavg,regbelowavg
"['1991', '3133']",growthaboveavg,regbelowavg
"['1991', '3241']",growthaboveavg,regaboveavg
"['1991', '3254']",growthaboveavg,regaboveavg
"['1991', '3313']",growthaboveavg,regbelowavg
"['1991', '3345']",growthaboveavg,regaboveavg
"['1991', '3361']",growthaboveavg,regaboveavg
"['1991', '3391']",growthaboveavg,regaboveavg
"['1992', '3141']",growthaboveavg,regbelowavg
"['1992', '3313']",growthaboveavg,regbelowavg
"['1992', '3334']",growthaboveavg,regbelowavg
"['1992', '3352']",growthaboveavg,regbelowavg
"['1992', '3353']",growthaboveavg,regbelowavg
"['1992', '3362']",growthaboveavg,regaboveavg
"['1992', '3363']",growthaboveavg,regaboveavg
"['1992', '3366']",growthaboveavg,regaboveavg
"['1993', '3111']",growthaboveavg,regbelowavg
"['1993', '3112']",growthaboveavg,regbelowavg
"['1993', '3116']",growthaboveavg,regaboveavg
"['1993', '3121']",growthaboveavg,regbelowavg
"['1993', '3132']",growthaboveavg,regbelowavg
"['1993', '3141']",growthaboveavg,regbelowavg
"['1993', '3221']",growthaboveavg,regbelowavg
"['1993', '3241']",growthaboveavg,regaboveavg
"['1993', '3251']",growthaboveavg,regaboveavg
"['1993', '3253']",growthaboveavg,regaboveavg
"['1993', '3255']",growthaboveavg,regbelowavg
"['1993', '3273']",growthaboveavg,regbelowavg
"['1993', '3313']",growthaboveavg,regbelowavg
"['1993', '3333']",growthaboveavg,regbelowavg
"['1993', '3334']",growthaboveavg,regbelowavg
"['1993', '3336']",growthaboveavg,regbelowavg
"['1993', '3339']",growthaboveavg,regbelowavg
"['1993', '3345']",growthaboveavg,regbelowavg
"['1993', '3352']",growthaboveavg,regbelowavg
"['1993', '3353']",growthaboveavg,regbelowavg
"['1993', '3362']",growthaboveavg,regaboveavg
"['1993', '3363']",growthaboveavg,regaboveavg
"['1994', '3111']",growthaboveavg,regbelowavg
"['1994', '3121']",growthaboveavg,regbelowavg
"['1994', '3132']",growthaboveavg,regbelowavg
"['1994', '3133']",growthaboveavg,regbelowavg
"['1994', '3221']",growthaboveavg,regbelowavg
"['1994', '3251']",growthaboveavg,regaboveavg
"['1994', '3255']",growthaboveavg,regbelowavg
"['1994', '3334']",growthaboveavg,regbelowavg
"['1994', '3336']",growthaboveavg,regbelowavg
"['1994', '3351']",growthaboveavg,regbelowavg
"['1994', '3352']",growthaboveavg,regbelowavg
"['1994', '3353']",growthaboveavg,regbelowavg
"['1994', '3362']",growthaboveavg,regbelowavg
"['1994', '3363']",growthaboveavg,regaboveavg
"['1995', '3111']",growthaboveavg,regbelowavg
"['1995', '3112']",growthaboveavg,regbelowavg
"['1995', '3116']",growthaboveavg,regaboveavg
"['1995', '3121']",growthaboveavg,regbelowavg
"['1995', '3132']",growthaboveavg,regbelowavg
"['1995', '3141']",growthaboveavg,regbelowavg
"['1995', '3211']",growthaboveavg,regbelowavg
"['1995', '3241']",growthaboveavg,regaboveavg
"['1995', '3253']",growthaboveavg,regaboveavg
"['1995', '3273']",growthaboveavg,regbelowavg
"['1995', '3274']",growthaboveavg,regbelowavg
"['1995', '3339']",growthaboveavg,regbelowavg
"['1995', '3345']",growthaboveavg,regbelowavg
"['1995', '3353']",growthaboveavg,regbelowavg
"['1995', '3361']",growthaboveavg,regaboveavg
"['1995', '3362']",growthaboveavg,regaboveavg
"['1995', '3363']",growthaboveavg,regaboveavg
"['1995', '3391']",growthaboveavg,regaboveavg
"['1996', '3241']",growthaboveavg,regaboveavg
"['1996', '3253']",growthaboveavg,regaboveavg
"['1996', '3274']",growthaboveavg,regbelowavg
"['1996', '3313']",growthaboveavg,regbelowavg
"['1996', '3336']",growthaboveavg,regbelowavg
"['1996', '3391']",growthaboveavg,regaboveavg
"['1997', '3111']",growthaboveavg,regbelowavg
"['1997', '3116']",growthaboveavg,regbelowavg
"['1997', '3133']",growthaboveavg,regbelowavg
"['1997', '3141']",growthaboveavg,regbelowavg
"['1997', '3221']",growthaboveavg,regbelowavg
"['1997', '3241']",growthaboveavg,regaboveavg
"['1997', '3251']",growthaboveavg,regaboveavg
"['1997', '3255']",growthaboveavg,regbelowavg
"['1997', '3274']",growthaboveavg,regbelowavg
"['1997', '3334']",growthaboveavg,regbelowavg
"['1997', '3339']",growthaboveavg,regbelowavg
"['1997', '3351']",growthaboveavg,regbelowavg
"['1997', '3352']",growthaboveavg,regbelowavg
"['1997', '3361']",growthaboveavg,regaboveavg
"['1997', '3363']",growthaboveavg,regaboveavg
"['1997', '3366']",growthaboveavg,regaboveavg
"['1998', '3111']",growthaboveavg,regbelowavg
"['1998', '3112']",growthaboveavg,regbelowavg
"['1998', '3116']",growthaboveavg,regaboveavg
"['1998', '3241']",growthaboveavg,regaboveavg
"['1998', '3251']",growthaboveavg,regaboveavg
"['1998', '3274']",growthaboveavg,regbelowavg
"['1998', '3313']",growthaboveavg,regbelowavg
"['1998', '3333']",growthaboveavg,regbelowavg
"['1998', '3391']",growthaboveavg,regaboveavg
"['1999', '3112']",growthaboveavg,regbelowavg
"['1999', '3132']",growthaboveavg,regbelowavg
"['1999', '3221']",growthaboveavg,regbelowavg
"['1999', '3313']",growthaboveavg,regbelowavg
"['1999', '3336']",growthaboveavg,regbelowavg
"['1999', '3361']",growthaboveavg,regaboveavg
"['2000', '3112']",growthaboveavg,regbelowavg
"['2000', '3133']",growthaboveavg,regbelowavg
"['2000', '3211']",growthaboveavg,regbelowavg
"['2000', '3241']",growthaboveavg,regaboveavg
"['2000', '3253']",growthaboveavg,regaboveavg
"['2000', '3345']",growthaboveavg,regbelowavg
"['2000', '3352']",growthaboveavg,regbelowavg
"['2000', '3391']",growthaboveavg,regaboveavg
"['2001', '3111']",growthaboveavg,regbelowavg
"['2001', '3121']",growthaboveavg,regbelowavg
"['2001', '3211']",growthaboveavg,regbelowavg
"['2001', '3241']",growthaboveavg,regaboveavg
"['2001', '3254']",growthaboveavg,regaboveavg
"['2001', '3255']",growthaboveavg,regbelowavg
"['2001', '3274']",growthaboveavg,regbelowavg
"['2001', '3336']",growthaboveavg,regbelowavg
"['2002', '3111']",growthaboveavg,regbelowavg
"['2002', '3116']",growthaboveavg,regbelowavg
"['2002', '3121']",growthaboveavg,regbelowavg
"['2002', '3132']",growthaboveavg,regbelowavg
"['2002', '3211']",growthaboveavg,regbelowavg
"['2002', '3221']",growthaboveavg,regbelowavg
"['2002', '3251']",growthaboveavg,regaboveavg
"['2002', '3253']",growthaboveavg,regaboveavg
"['2002', '3254']",growthaboveavg,regaboveavg
"['2002', '3313']",growthaboveavg,regbelowavg
"['2002', '3334']",growthaboveavg,regbelowavg
"['2002', '3339']",growthaboveavg,regbelowavg
"['2002', '3352']",growthaboveavg,regbelowavg
"['2002', '3361']",growthaboveavg,regaboveavg
"['2002', '3362']",growthaboveavg,regaboveavg
"['2002', '3363']",growthaboveavg,regaboveavg
"['2002', '3366']",growthaboveavg,regaboveavg
"['2003', '3111']",growthaboveavg,regbelowavg
"['2003', '3116']",growthaboveavg,regbelowavg
"['2003', '3121']",growthaboveavg,regbelowavg
"['2003', '3132']",growthaboveavg,regbelowavg
"['2003', '3141']",growthaboveavg,regbelowavg
"['2003', '3211']",growthaboveavg,regbelowavg
"['2003', '3221']",growthaboveavg,regbelowavg
"['2003', '3241']",growthaboveavg,regaboveavg
"['2003', '3251']",growthaboveavg,regaboveavg
"['2003', '3253']",growthaboveavg,regaboveavg
"['2003', '3255']",growthaboveavg,regbelowavg
"['2003', '3273']",growthaboveavg,regbelowavg
"['2003', '3274']",growthaboveavg,regbelowavg
"['2003', '3333']",growthaboveavg,regbelowavg
"['2003', '3334']",growthaboveavg,regbelowavg
"['2003', '3339']",growthaboveavg,regbelowavg
"['2003', '3345']",growthaboveavg,regbelowavg
"['2003', '3352']",growthaboveavg,regbelowavg
"['2003', '3353']",growthaboveavg,regbelowavg
"['2003', '3361']",growthaboveavg,regaboveavg
"['2003', '3362']",growthaboveavg,regaboveavg
"['2003', '3391']",growthaboveavg,regaboveavg
"['2004', '3116']",growthaboveavg,regbelowavg
"['2004', '3221']",growthaboveavg,regbelowavg
"['2004', '3251']",growthaboveavg,regaboveavg
"['2004', '3253']",growthaboveavg,regaboveavg
"['2004', '3255']",growthaboveavg,regbelowavg
"['2004', '3313']",growthaboveavg,regbelowavg
"['2004', '3334']",growthaboveavg,regbelowavg
"['2004', '3339']",growthaboveavg,regbelowavg
"['2004', '3345']",growthaboveavg,regbelowavg
"['2004', '3351']",growthaboveavg,regbelowavg
"['2004', '3352']",growthaboveavg,regbelowavg
"['2004', '3353']",growthaboveavg,regbelowavg
"['2004', '3363']",growthaboveavg,regaboveavg
"['2005', '3111']",growthaboveavg,regbelowavg
"['2005', '3116']",growthaboveavg,regbelowavg
"['2005', '3121']",growthaboveavg,regbelowavg
"['2005', '3132']",growthaboveavg,regbelowavg
"['2005', '3133']",growthaboveavg,regbelowavg
"['2005', '3141']",growthaboveavg,regbelowavg
"['2005', '3253']",growthaboveavg,regaboveavg
"['2005', '3274']",growthaboveavg,regbelowavg
